Videos,Shot_Boundary,Duration,Entropy,Average_Intensities,Average_Intensities_30,Average_Intensities_60,Optical_Flow,Funny,Average_Memorability,Topics,Average_Hue,Exciting,Median_Hue,Sentiments,Entropy,Optical_Flow,Exciting,Funny,Average_Memorability,Language,Topics,Average_Hue,Median_Hue,Sentiments,BPM,A,B,C,D,E,F,G,Major/Minor,Sharp/Flat,Effectiveness,,,
694TX2lQ7Uo,5,32,0.625262405,0.423738126,0.377045211,0.413790323,823304.9628,0.6,0.725938529,10,"[0.4122753693491287, 0.4138723788126361, 0.41673883442265786]",0.2,"[0.40067401960784316, 0.40314542483660126, 0.409640522875817]",6,0.625262405,823304.9628,0.2,0.6,0.725938529,1,10,"[0.4122753693491287, 0.4138723788126361, 0.41673883442265786]","[0.40067401960784316, 0.40314542483660126, 0.409640522875817]",6,165,0,0,0,1,0,0,0,0,0,3,,,
69MpLiYhsXw,23,60,0.96036227,0.689820199,0.764372671,0.73516903,1164979.146,0.6,0.726021167,6,"[0.685041598583878, 0.6847087872185911, 0.6842794344589691]",0.4,"[0.6873965141612199, 0.6872549019607843, 0.6866557734204793]",6,0.96036227,1164979.146,0.4,0.6,0.726021167,1,6,"[0.685041598583878, 0.6847087872185911, 0.6842794344589691]","[0.6873965141612199, 0.6872549019607843, 0.6866557734204793]",6,87,0,0,1,0,0,0,0,0,1,3,,,
6AOvnPY_d-U,21,35,0.970950594,0.214852922,0.268211798,0.286889639,881300.0279,0,0.724142796,2,"[0.0, 0.0, 0.0]",0.2,"[0.0, 0.0, 0.0]",14,0.970950594,881300.0279,0.2,0,0.724142796,0,2,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",14,106,0,0,0,0,0,0,1,1,1,3,,,
6bJOIqVAD-s,3,30,0.468995594,0.150472076,0.226502176,0.210520129,1811310.044,0.8,0.722990563,1,"[0.0, 0.0, 0.0]",0.4,"[0.0, 0.0, 0.0]",6,0.468995594,1811310.044,0.4,0.8,0.722990563,1,1,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",6,123,0,0,0,1,0,0,0,0,0,1,,,
6CbQOLqZ8IA,60,63,0.276195428,0.185897358,0.215670673,0.1956872,2767397.68,0.6,0.723056191,19,"[0.299286782088722, 0.29909535356695865, 0.2985019034209429]",0.6,"[0.29724655819774715, 0.29552565707133915, 0.2947747183979975]",1,0.276195428,2767397.68,0.6,0.6,0.723056191,1,19,"[0.299286782088722, 0.29909535356695865, 0.2985019034209429]","[0.29724655819774715, 0.29552565707133915, 0.2947747183979975]",1,178,1,0,0,0,0,0,0,1,1,3,,,
6e3z2H1O5zE,37,120,0.891240201,0.353561133,0.444906493,0.387703845,684756.5653,0.2,0.72485569,24,"[0.35667150054466223, 0.42950663807189526, 0.42483266385257795]",0.6,"[0.30441721132897603, 0.3721895424836601, 0.36354030501089324]",5,0.891240201,684756.5653,0.6,0.2,0.72485569,1,24,"[0.35667150054466223, 0.42950663807189526, 0.42483266385257795]","[0.30441721132897603, 0.3721895424836601, 0.36354030501089324]",5,163,0,0,1,0,0,0,0,1,0,3,,,
6FSOKnW9BLI,32,120,0.836640742,0.358553213,0.293313957,0.300775723,1079897.9,0,0.724817402,24,"[0.23863063952432814, 0.35366751770152494, 0.35347651143790865]",0.4,"[0.22279411764705884, 0.335223311546841, 0.3273856209150327]",14,0.836640742,1079897.9,0.4,0,0.724817402,1,24,"[0.23863063952432814, 0.35366751770152494, 0.35347651143790865]","[0.22279411764705884, 0.335223311546841, 0.3273856209150327]",14,130,0,0,0,0,0,1,0,1,0,5,,,
6GNGfse9ZK8,24,120,0.721928095,0.262689772,0.367023136,0.35386956,473862.0154,0.2,0.724317578,33,"[0.0003921568627450981, 0.0003921568627450981, 0.0003921568627450981]",0.8,"[0.0003921568627450981, 0.0003921568627450981, 0.0003921568627450981]",4,0.721928095,473862.0154,0.8,0.2,0.724317578,1,33,"[0.0003921568627450981, 0.0003921568627450981, 0.0003921568627450981]","[0.0003921568627450981, 0.0003921568627450981, 0.0003921568627450981]",4,123,0,0,1,0,0,0,0,1,0,5,,,
6h3G-lMZxjo,30,74,0.974024864,0.203611197,0.160696974,0.185389228,1675593.346,0,0.724068177,37,"[0.18796460549840263, 0.1871573390193147, 0.18651457032738364]",0.2,"[0.14211729534863274, 0.14167765761012927, 0.14119405609777544]",4,0.974024864,1675593.346,0.2,0,0.724068177,1,37,"[0.18796460549840263, 0.1871573390193147, 0.18651457032738364]","[0.14211729534863274, 0.14167765761012927, 0.14119405609777544]",4,136,0,0,0,1,0,0,0,1,1,3,,,
6HNKqffU3Cc,23,61,0.955931264,0.201126462,0.252543667,0.248617062,1329429.696,0.2,0.724500962,12,"[0.0008664126882637113, 0.0009018231386757595, 0.0009704683503836319]",0.4,"[0.0, 0.0, 0.0]",15,0.955931264,1329429.696,0.4,0.2,0.724500962,1,12,"[0.0008664126882637113, 0.0009018231386757595, 0.0009704683503836319]","[0.0, 0.0, 0.0]",15,118,0,0,0,1,0,0,0,1,0,5,,,
6i-nMWgBUp0,12,56,0.749595257,0.147493844,0.443640074,0.291088274,811420.8238,1,0.725818903,21,"[0.16194051077221006, 0.1470009985475672, 0.10532576857903653]",0.8,"[0.16011619462599855, 0.14737835875090777, 0.06888888888888889]",6,0.749595257,811420.8238,0.8,1,0.725818903,1,21,"[0.16194051077221006, 0.1470009985475672, 0.10532576857903653]","[0.16011619462599855, 0.14737835875090777, 0.06888888888888889]",6,163,0,0,1,0,0,0,0,1,0,2,,,
6iQ7ZDUutU4,22,63,0.93335726,0.129649114,0.162738037,0.148617554,964202.2766,0.4,0.723172757,37,"[0.11413888347833613, 0.11600173678743024, 0.11812102324373454]",0.6,"[0.07827554863004806, 0.07993767043241137, 0.08196338137904167]",7,0.93335726,964202.2766,0.6,0.4,0.723172757,1,37,"[0.11413888347833613, 0.11600173678743024, 0.11812102324373454]","[0.07827554863004806, 0.07993767043241137, 0.08196338137904167]",7,91,1,0,0,0,0,0,0,0,0,5,,,
6jyAEqhfHTE,38,100,0.958042022,0.325879862,0.307565341,0.303475221,1009937.264,0.8,0.725470495,5,"[0.3091148011982572, 0.3089531181917212, 0.30894351851851853]",0.2,"[0.2866078431372549, 0.2870980392156863, 0.28751633986928105]",6,0.958042022,1009937.264,0.2,0.8,0.725470495,1,5,"[0.3091148011982572, 0.3089531181917212, 0.30894351851851853]","[0.2866078431372549, 0.2870980392156863, 0.28751633986928105]",6,108,0,0,1,0,0,0,0,1,1,3,,,
6kkeGgRG-uE,58,102,0.986367607,0.462314095,0.477725436,0.489396115,1141042.669,0.4,0.725021563,26,"[0.49138993930905694, 0.491137338268641, 0.49047403961584657]",0.6,"[0.48194477791116447, 0.4825690276110444, 0.4822729091636655]",14,0.986367607,1141042.669,0.6,0.4,0.725021563,1,26,"[0.49138993930905694, 0.491137338268641, 0.49047403961584657]","[0.48194477791116447, 0.4825690276110444, 0.4822729091636655]",14,89,0,0,1,0,0,0,0,1,0,4,,,
6kYqjTA_VEg,12,46,0.828055725,0.450956843,0.3802473,0.403055645,994966.4965,0.2,0.725285185,33,"[0.6079707113763377, 0.6073795206971682, 0.6065945249597424]",0.4,"[0.6487297527706735, 0.6486615515771527, 0.6488832054560955]",3,0.828055725,994966.4965,0.4,0.2,0.725285185,1,33,"[0.6079707113763377, 0.6073795206971682, 0.6065945249597424]","[0.6487297527706735, 0.6486615515771527, 0.6488832054560955]",3,109,0,0,0,0,1,0,0,0,0,5,,,
6mpS6V6Ucrk,28,60,0.996791632,0.366663182,0.442333428,0.407184173,618244.0278,1,0.7245535,8,"[0.4340234204793027, 0.4293031862745101, 0.42423910675381277]",0.4,"[0.4257124183006536, 0.42271895424836603, 0.41792156862745095]",6,0.996791632,618244.0278,0.4,1,0.7245535,1,8,"[0.4340234204793027, 0.4293031862745101, 0.42423910675381277]","[0.4257124183006536, 0.42271895424836603, 0.41792156862745095]",6,104,1,0,0,0,0,0,0,1,0,5,,,
6Obj5eoSpu8,3,30,0.468995594,0.343823258,0.352146813,0.337232237,456342.7263,0.2,0.724417929,19,"[0.23562306792086204, 0.2352952216922806, 0.23488037670022963]",1,"[0.18977212506624272, 0.1905140434552199, 0.19160042395336513]",1,0.468995594,456342.7263,1,0.2,0.724417929,1,19,"[0.23562306792086204, 0.2352952216922806, 0.23488037670022963]","[0.18977212506624272, 0.1905140434552199, 0.19160042395336513]",1,126,0,1,0,0,0,0,0,1,0,4,,,
6PKAv5OPf40,10,15,0.918295834,0.578192437,0.54361565,0.552297756,977464.9415,0.4,0.725403912,21,"[0.6626982780291603, 0.6620834380760849, 0.6611054550025137]",0.2,"[0.6758169934640523, 0.6752639517345399, 0.6732026143790849]",30,0.918295834,977464.9415,0.2,0.4,0.725403912,1,21,"[0.6626982780291603, 0.6620834380760849, 0.6611054550025137]","[0.6758169934640523, 0.6752639517345399, 0.6732026143790849]",30,118,0,0,0,1,0,0,0,0,0,5,,,
6T2olgjnDWY,10,30,0.918295834,0.417088492,0.594237885,0.505184538,2302872.967,0.4,0.724597567,18,"[0.3413463782949077, 0.4323384417869711, 0.4214090892767364]",0.4,"[0.34682180564533505, 0.4407455289808231, 0.42936867054514116]",21,0.918295834,2302872.967,0.4,0.4,0.724597567,1,18,"[0.3413463782949077, 0.4323384417869711, 0.4214090892767364]","[0.34682180564533505, 0.4407455289808231, 0.42936867054514116]",21,96,1,0,0,0,0,0,0,1,1,5,,,
6uhCxBk6cQE,0,66,0,0.126612225,0.154405009,0.143345279,897810.7925,0.2,0.723125889,19,"[0.10028053390030708, 0.099851538506969, 0.09964268840066151]",0.4,"[0.09802740373257736, 0.09766123316796597, 0.09730687455705174]",1,0,897810.7925,0.4,0.2,0.723125889,1,19,"[0.10028053390030708, 0.099851538506969, 0.09964268840066151]","[0.09802740373257736, 0.09766123316796597, 0.09730687455705174]",1,86,0,0,0,0,0,1,0,1,1,5,,,
6uLBrg6ai0c,4,20,0.721928095,0.660578003,0.688162541,0.690972424,649129.662,0.6,0.728236849,10,"[0.6685437772331149, 0.6719889705882355, 0.6735546704793028]",0.2,"[0.6579084967320262, 0.6588562091503267, 0.6576470588235294]",12,0.721928095,649129.662,0.2,0.6,0.728236849,1,10,"[0.6685437772331149, 0.6719889705882355, 0.6735546704793028]","[0.6579084967320262, 0.6588562091503267, 0.6576470588235294]",12,147,0,0,1,0,0,0,0,1,0,2,,,
6VEHt9cmtzI,43,49,0.536359651,0.328512121,0.321831451,0.321657574,1198934.968,0.4,0.724472436,21,"[0.41424743131715963, 0.418913814113216, 0.4168249072227762]",0.6,"[0.4147391159853772, 0.4229145895646394, 0.42412761714855435]",19,0.536359651,1198934.968,0.6,0.4,0.724472436,1,21,"[0.41424743131715963, 0.418913814113216, 0.4168249072227762]","[0.4147391159853772, 0.4229145895646394, 0.42412761714855435]",19,141,0,0,0,1,0,0,0,0,1,5,,,
6XRXBrcdtWg,21,49,0.985228136,0.327529856,0.402843722,0.354727926,1156009.861,0.4,0.724585476,36,"[0.2917455728730239, 0.29496334003686947, 0.2961349226300208]",0.6,"[0.2534607005195241, 0.25595776772247364, 0.255052790346908]",10,0.985228136,1156009.861,0.6,0.4,0.724585476,1,36,"[0.2917455728730239, 0.29496334003686947, 0.2961349226300208]","[0.2534607005195241, 0.25595776772247364, 0.255052790346908]",10,133,0,0,0,0,0,0,1,1,0,5,,,
6xy_lt-Z5b0,30,46,0.932111568,0.298663927,0.299826992,0.324172541,1125996.952,0.6,0.724696013,9,"[0.005753641255352714, 0.005316972334910975, 0.0043029848433626325]",1,"[0.0027721433400946585, 0.0023664638269100743, 0.0012846517917511832]",1,0.932111568,1125996.952,1,0.6,0.724696013,1,9,"[0.005753641255352714, 0.005316972334910975, 0.0043029848433626325]","[0.0027721433400946585, 0.0023664638269100743, 0.0012846517917511832]",1,107,0,0,0,0,0,1,0,1,1,3,,,
6yVMik5Mfwk,4,55,0.376019851,0.236831431,0.347284013,0.327008361,707677.9445,0,0.724149693,32,"[0.058653034206383264, 0.05865908711416437, 0.058672147082677324]",0.4,"[0.05971089165593244, 0.05971089165593244, 0.05971089165593244]",4,0.376019851,707677.9445,0.4,0,0.724149693,0,32,"[0.058653034206383264, 0.05865908711416437, 0.058672147082677324]","[0.05971089165593244, 0.05971089165593244, 0.05971089165593244]",4,107,0,0,1,0,0,0,0,0,0,5,,,
7_dgiNoBWio,12,63,0.702466551,0.415840604,0.604600591,0.498793594,930998.8291,1,0.725346365,26,"[0.5648237551599584, 0.5648030078259374, 0.5645696540677672]",0.4,"[0.5685113519091848, 0.5687693498452013, 0.5692982456140351]",6,0.702466551,930998.8291,0.4,1,0.725346365,1,26,"[0.5648237551599584, 0.5648030078259374, 0.5645696540677672]","[0.5685113519091848, 0.5687693498452013, 0.5692982456140351]",6,137,0,1,0,0,0,0,0,0,0,3,,,
7-OnEe-dauE,6,30,0.721928095,0.540919163,0.373789156,0.516351541,796830.1784,1,0.725853042,2,"[0.6981930079724197, 0.6946810134310136, 0.6913773522229407]",0.6,"[0.755656108597285, 0.7536953242835596, 0.751906916612799]",6,0.721928095,796830.1784,0.6,1,0.725853042,1,2,"[0.6981930079724197, 0.6946810134310136, 0.6913773522229407]","[0.755656108597285, 0.7536953242835596, 0.751906916612799]",6,112,0,0,0,0,0,1,0,1,0,5,,,
75F3CSZcCFs,18,88,0.730926378,0.276382615,0.389143657,0.384067313,558636.9442,0.8,0.724329641,9,"[0.06666666666666667, 0.06666666666666667, 0.06666666666666667]",0.6,"[0.06666666666666667, 0.06666666666666667, 0.06666666666666667]",6,0.730926378,558636.9442,0.6,0.8,0.724329641,0,9,"[0.06666666666666667, 0.06666666666666667, 0.06666666666666667]","[0.06666666666666667, 0.06666666666666667, 0.06666666666666667]",6,148,0,0,0,0,0,0,1,0,0,5,,,
797j7LY1eb4,12,32,0.954434003,0.361898183,0.35588375,0.36317293,875714.5511,0.6,0.724790677,25,"[0.41555083396995146, 0.4160222498090144, 0.4159357227739581]",0.4,"[0.4195059842118666, 0.4197860962566845, 0.4200916730328495]",4,0.954434003,875714.5511,0.4,0.6,0.724790677,1,25,"[0.41555083396995146, 0.4160222498090144, 0.4159357227739581]","[0.4195059842118666, 0.4197860962566845, 0.4200916730328495]",4,118,0,0,0,1,0,0,0,0,0,5,,,
79GTD0Q3-yI,53,61,0.560576943,0.203307982,0.204846984,0.207486307,1471795.389,0.4,0.724171437,19,"[0.20332219979495073, 0.2031605899440386, 0.2028801689521124]",1,"[0.20183262847622707, 0.20073048827374088, 0.20008970908624887]",1,0.560576943,1471795.389,1,0.4,0.724171437,1,19,"[0.20332219979495073, 0.2031605899440386, 0.2028801689521124]","[0.20183262847622707, 0.20073048827374088, 0.20008970908624887]",1,115,0,0,0,0,1,0,0,0,0,5,,,
7Ac2cZPOD00,11,31,0.938315352,0.401551495,0.447672731,0.43907447,1415359.166,0.6,0.725142081,8,"[0.34218866399606435, 0.34583943882212387, 0.3535646391172957]",0.6,"[0.3541218637992831, 0.35644107105207673, 0.369112376133249]",4,0.938315352,1415359.166,0.6,0.6,0.725142081,1,8,"[0.34218866399606435, 0.34583943882212387, 0.3535646391172957]","[0.3541218637992831, 0.35644107105207673, 0.369112376133249]",4,72,0,0,0,0,0,0,1,1,1,5,,,
7ae0tzVo8Fw,45,96,0.997180399,0.249139222,0.293893735,0.287240372,1435682.924,0.2,0.723608799,10,"[0.012377808415032684, 0.012199857026143797, 0.012056661900871462]",0.2,"[0.012009803921568628, 0.012009803921568628, 0.012009803921568628]",11,0.997180399,1435682.924,0.2,0.2,0.723608799,0,10,"[0.012377808415032684, 0.012199857026143797, 0.012056661900871462]","[0.012009803921568628, 0.012009803921568628, 0.012009803921568628]",11,152,0,1,0,0,0,0,0,1,0,4,,,
7AuhjzxAudY,16,46,0.932111568,0.722726752,0.713918931,0.717254153,1175035.919,0.4,0.725326513,15,"[0.6773594559950414, 0.6790411595672753, 0.6799673554766734]",0.8,"[0.6938640973630832, 0.6959939148073022, 0.6973461798512508]",6,0.932111568,1175035.919,0.8,0.4,0.725326513,1,15,"[0.6773594559950414, 0.6790411595672753, 0.6799673554766734]","[0.6938640973630832, 0.6959939148073022, 0.6973461798512508]",6,125,0,0,0,0,0,1,0,0,1,4,,,
7aUTdYsZda8,23,43,0.99648599,0.356411224,0.436569297,0.381043946,2551824.47,0.2,0.723650317,2,"[0.054870150992495766, 0.33930033587509095, 0.3496776658194143]",0.4,"[0.03041031227305737, 0.33464052287581697, 0.3228213507625272]",8,0.99648599,2551824.47,0.4,0.2,0.723650317,1,2,"[0.054870150992495766, 0.33930033587509095, 0.3496776658194143]","[0.03041031227305737, 0.33464052287581697, 0.3228213507625272]",8,133,0,0,0,1,0,0,0,0,1,3,,,
7AVmI73va4g,55,91,0.968321186,0.225303504,0.365432879,0.304109657,1799668.487,0.2,0.724800526,21,"[0.13089280389771485, 0.13497522184056104, 0.14065038941367294]",0.8,"[0.12587662802347216, 0.1289680835837985, 0.13294690138829254]",5,0.968321186,1799668.487,0.8,0.2,0.724800526,1,21,"[0.13089280389771485, 0.13497522184056104, 0.14065038941367294]","[0.12587662802347216, 0.1289680835837985, 0.13294690138829254]",5,156,0,0,0,1,0,0,0,0,0,5,,,
7b5CKSqlz60,20,60,0.918295834,0.537138511,0.529099109,0.499459867,672053.414,1,0.726041297,9,"[0.7079192084241103, 0.7077528367828613, 0.7074783950617286]",0.6,"[0.708529411764706, 0.7086056644880174, 0.7088671023965142]",6,0.918295834,672053.414,0.6,1,0.726041297,1,9,"[0.7079192084241103, 0.7077528367828613, 0.7074783950617286]","[0.708529411764706, 0.7086056644880174, 0.7088671023965142]",6,117,0,0,0,0,0,0,1,0,1,3,,,
7b8zeykara0,14,20,0.881290899,0.532849822,0.471624971,0.567101844,721080.5221,0.4,0.725472992,21,"[0.6735365404331667, 0.6745570613866462, 0.675608499935922]",0.4,"[0.7488273740868896, 0.7509419454056132, 0.7540945790080738]",9,0.881290899,721080.5221,0.4,0.4,0.725472992,1,21,"[0.6735365404331667, 0.6745570613866462, 0.675608499935922]","[0.7488273740868896, 0.7509419454056132, 0.7540945790080738]",9,103,0,0,0,0,1,0,0,1,0,3,,,
7ClI2bp__Bs,20,30,0.918295834,0.298414196,0.351727476,0.364376214,718106.107,0.8,0.725221082,1,"[0.23991644880174298, 0.24255452069716782, 0.24446781045751642]",0.8,"[0.22287581699346407, 0.22807843137254902, 0.22938562091503267]",6,0.918295834,718106.107,0.8,0.8,0.725221082,1,1,"[0.23991644880174298, 0.24255452069716782, 0.24446781045751642]","[0.22287581699346407, 0.22807843137254902, 0.22938562091503267]",6,107,1,0,0,0,0,0,0,0,1,1,,,
7Cqz-S8Phv8,11,30,0.948078244,0.213511421,0.212717531,0.227024129,1009776.328,0.4,0.724289815,8,"[0.1680573710965868, 0.17297013435003636, 0.17833405954974585]",0.6,"[0.1511111111111111, 0.14989106753812637, 0.1488888888888889]",12,0.948078244,1009776.328,0.6,0.4,0.724289815,1,8,"[0.1680573710965868, 0.17297013435003636, 0.17833405954974585]","[0.1511111111111111, 0.14989106753812637, 0.1488888888888889]",12,94,0,0,0,0,0,1,0,1,0,5,,,
7DrFY3H-u8w,29,60,0.999198354,0.383768982,0.400202174,0.39502744,1128665.72,0.4,0.72440466,10,"[0.2659134636194434, 0.4972476518201097, 0.49101953750595195]",0.8,"[0.24699389689650694, 0.5389429944163096, 0.5342163355408388]",4,0.999198354,1128665.72,0.8,0.4,0.72440466,1,10,"[0.2659134636194434, 0.4972476518201097, 0.49101953750595195]","[0.24699389689650694, 0.5389429944163096, 0.5342163355408388]",4,178,0,0,0,1,0,0,0,1,1,5,,,
7DZao4kN73M,32,32,0,0.289010236,0.284457375,0.285519833,1401859.857,0.6,0.724590653,3,"[0.25962350217864927, 0.2551483779275598, 0.25280658530773437]",0.8,"[0.22522467320261436, 0.21505310457516338, 0.205453431372549]",14,0,1401859.857,0.8,0.6,0.724590653,1,3,"[0.25962350217864927, 0.2551483779275598, 0.25280658530773437]","[0.22522467320261436, 0.21505310457516338, 0.205453431372549]",14,118,1,0,0,0,0,0,0,1,1,5,,,
7GKuZu9xkj0,17,30,0.987137774,0.490566334,0.572085491,0.552318726,791755.7604,0.2,0.725559493,22,"[0.007154302832244006, 0.006335566448801743, 0.005818464052287582]",0.2,"[0.00392156862745098, 0.00334640522875817, 0.0030849673202614377]",10,0.987137774,791755.7604,0.2,0.2,0.725559493,1,22,"[0.007154302832244006, 0.006335566448801743, 0.005818464052287582]","[0.00392156862745098, 0.00334640522875817, 0.0030849673202614377]",10,91,0,0,0,0,0,0,1,1,0,5,,,
7gMZ62PsvRM,26,31,0.637387499,0.357745797,0.426532677,0.37838079,2138930.857,0.8,0.724588313,1,"[0.26660236137465737, 0.4466823037458711, 0.4721964386112865]",0.6,"[0.248808770820156, 0.44218848829854523, 0.4725068522032469]",6,0.637387499,2138930.857,0.6,0.8,0.724588313,1,1,"[0.26660236137465737, 0.4466823037458711, 0.4721964386112865]","[0.248808770820156, 0.44218848829854523, 0.4725068522032469]",6,129,0,0,0,0,0,1,0,0,0,5,,,
7gPc6027rb8,10,106,0.450791388,0.741103604,0.66356934,0.67497317,274094.7186,0.2,0.726695549,15,"[0.9966429931552653, 0.9964938436004306, 0.996805153491842]",0.6,"[0.997946580206886, 0.996881272193917, 0.9973598888374248]",15,0.450791388,274094.7186,0.6,0.2,0.726695549,1,15,"[0.9966429931552653, 0.9964938436004306, 0.996805153491842]","[0.997946580206886, 0.996881272193917, 0.9973598888374248]",15,110,0,0,0,0,0,1,0,1,0,2,,,
7Guufs3mdgg,1,40,0.168660931,0.307561701,0.374600762,0.282107409,34905.98916,0.4,0.724598909,9,"[0.3614104711328976, 0.3452383578431373, 0.33806992102396494]",0.4,"[0.2342483660130719, 0.22379084967320262, 0.21823529411764706]",13,0.168660931,34905.98916,0.4,0.4,0.724598909,1,9,"[0.3614104711328976, 0.3452383578431373, 0.33806992102396494]","[0.2342483660130719, 0.22379084967320262, 0.21823529411764706]",13,112,0,0,0,0,1,0,0,0,0,2,,,
7IcGYHU8WBo,10,30,0.918295834,0.472381898,0.569938541,0.491960115,708028.0927,1,0.725862594,10,"[0.5046783655591864, 0.5095933755446621, 0.5139450571895426]",0.8,"[0.5101579520697167, 0.5166122004357299, 0.5248910675381264]",6,0.918295834,708028.0927,0.8,1,0.725862594,1,10,"[0.5046783655591864, 0.5095933755446621, 0.5139450571895426]","[0.5101579520697167, 0.5166122004357299, 0.5248910675381264]",6,143,0,0,0,0,0,1,0,1,1,3,,,
7iCXk67TIB0,37,48,0.776555785,0.517054866,0.498354899,0.498027225,1690806.848,0.6,0.725425544,2,"[0.5538617578976033, 0.5526078771786492, 0.5507459831154684]",0.4,"[0.5463071895424837, 0.5432189542483661, 0.5408169934640523]",14,0.776555785,1690806.848,0.4,0.6,0.725425544,0,2,"[0.5538617578976033, 0.5526078771786492, 0.5507459831154684]","[0.5463071895424837, 0.5432189542483661, 0.5408169934640523]",14,96,0,0,0,1,0,0,0,0,0,3,,,
7is6r6zXFDc,2,63,0.20307393,0.500372098,0.443340317,0.479169078,652333.8655,0.2,0.725316007,22,"[0.4918332634588924, 0.49157830237358086, 0.4912670923632611]",0.6,"[0.5374484004127966, 0.5375515995872033, 0.5382223942208462]",15,0.20307393,652333.8655,0.6,0.2,0.725316007,1,22,"[0.4918332634588924, 0.49157830237358086, 0.4912670923632611]","[0.5374484004127966, 0.5375515995872033, 0.5382223942208462]",15,123,0,0,0,1,0,0,0,0,0,5,,,
7JUExZaSNKA,31,31,0,0.476685144,0.579401547,0.518126755,1812673.78,0.4,0.72599864,21,"[0.43856041187918554, 0.4350950379926546, 0.43031283882548316]",0.6,"[0.39510858106683533, 0.3923887834703774, 0.38872021927050393]",1,0,1812673.78,0.6,0.4,0.72599864,1,21,"[0.43856041187918554, 0.4350950379926546, 0.43031283882548316]","[0.39510858106683533, 0.3923887834703774, 0.38872021927050393]",1,172,0,0,0,0,0,1,0,1,1,5,,,
7jXUWe3MV_c,12,32,0.954434003,0.507863206,0.495117692,0.516204379,1526761.078,0.2,0.72487023,21,"[0.5685656604747162, 0.569094728242174, 0.5690450206398349]",0.4,"[0.5779772961816306, 0.5796491228070175, 0.5804334365325077]",5,0.954434003,1526761.078,0.4,0.2,0.72487023,1,21,"[0.5685656604747162, 0.569094728242174, 0.5690450206398349]","[0.5779772961816306, 0.5796491228070175, 0.5804334365325077]",5,111,1,0,0,0,0,0,0,1,0,5,,,
7kxXVnAtnOQ,47,60,0.754034056,0.437187634,0.480813139,0.470432018,1205958.058,0.4,0.725204688,10,"[0.007043545751633985, 0.006583932461873639, 0.006649836601307192]",0.4,"[0.0038431372549019606, 0.0035032679738562092, 0.0015032679738562092]",23,0.754034056,1205958.058,0.4,0.4,0.725204688,1,10,"[0.007043545751633985, 0.006583932461873639, 0.006649836601307192]","[0.0038431372549019606, 0.0035032679738562092, 0.0015032679738562092]",23,100,0,0,1,0,0,0,0,1,0,5,,,
7LQpRQh2KSQ,15,31,0.999249248,0.359158183,0.411461698,0.408853613,1301687.348,1,0.724656928,1,"[0.32054395424836596, 0.31850392156862745, 0.3166881808278868]",0.8,"[0.30065359477124187, 0.3003660130718954, 0.3009673202614379]",6,0.999249248,1301687.348,0.8,1,0.724656928,1,1,"[0.32054395424836596, 0.31850392156862745, 0.3166881808278868]","[0.30065359477124187, 0.3003660130718954, 0.3009673202614379]",6,126,0,0,0,1,0,0,0,1,0,5,,,
7MJu_aWn1nI,2,15,0.566509507,0.304850677,0.423507499,0.4677224,407457.347,0.4,0.72442409,1,"[0.03921802054154996, 0.03917335823218177, 0.03919203236850296]",0.6,"[0.03764705882352941, 0.03764705882352941, 0.03759103641456583]",4,0.566509507,407457.347,0.6,0.4,0.72442409,1,1,"[0.03921802054154996, 0.03917335823218177, 0.03919203236850296]","[0.03764705882352941, 0.03764705882352941, 0.03759103641456583]",4,151,0,0,0,1,0,0,0,1,0,5,,,
7N9HoLhZGsU,28,30,0.353359335,0.571160494,0.587942362,0.584219171,1464398.925,0.2,0.72548906,8,"[0.6364245098039213, 0.6387450980392156, 0.6418540305010895]",0.6,"[0.6521830065359477, 0.655607843137255, 0.6610718954248366]",1,0.353359335,1464398.925,0.6,0.2,0.72548906,1,8,"[0.6364245098039213, 0.6387450980392156, 0.6418540305010895]","[0.6521830065359477, 0.655607843137255, 0.6610718954248366]",1,99,0,0,0,0,0,0,1,1,0,5,,,
7Ol2HYCnVbs,40,61,0.928839146,0.257486215,0.398165614,0.274661385,1054267.423,0.6,0.726360669,21,"[0.33927287581699317, 0.3461301465030448, 0.34451644546707627]",1,"[0.1304921968787515, 0.11165799653194611, 0.09779911964785915]",1,0.928839146,1054267.423,1,0.6,0.726360669,1,21,"[0.33927287581699317, 0.3461301465030448, 0.34451644546707627]","[0.1304921968787515, 0.11165799653194611, 0.09779911964785915]",1,97,0,0,0,1,0,0,0,0,0,4,,,
7pi6BtYXD1w,27,45,0.970950594,0.222842145,0.316128248,0.320850305,1256331.508,0.8,0.724569785,6,"[0.001257208765859285, 0.001257208765859285, 0.001257208765859285]",0.8,"[0.0006055363321799309, 0.0006055363321799309, 0.0006055363321799309]",25,0.970950594,1256331.508,0.8,0.8,0.724569785,1,6,"[0.001257208765859285, 0.001257208765859285, 0.001257208765859285]","[0.0006055363321799309, 0.0006055363321799309, 0.0006055363321799309]",25,136,0,0,0,0,1,0,0,0,0,5,,,
