Video,Shot_Boundary,Video,Duration,Video,Shot_Boundary,Video.1,Duration,Video.2,Entropy,Video.3,Average_Intensities_60,Video.4,Optical_Flow,Video.5,Funny,Video.6,Average_Memorability,Video.7,Language,Video.8,Topics,Video.9,Average_Intensities,Video.10,Average_Intensities_30,Video.11,Average_Hue,Video.12,Exciting,Video.13,Median_Hue,Video.14,Effectiveness,Video.15,Sentiments,Video,Entropy,Video,Average_Intensities_60,Video,Optical_Flow,Video,Funny,Video,Average_Memorability,Video,Language,Video,Topics,Video,Average_Intensities,Video,Average_Intensities_30,Video,Average_Hue,Video,Exciting,Video,Median_Hue,Video,Effectiveness,Video,Sentiments,NAME ,KEY,BPM,A,B,C,D,E,F,G,Major/Minor,Sharp/Flat
ALaqqMY2m0k,23,7MclW0Srs8g,60,ALaqqMY2m0k,23,7MclW0Srs8g,60,ALaqqMY2m0k,0.998509099,7MclW0Srs8g,0.538367992,7MclW0Srs8g,1647984.75,7MclW0Srs8g,1,7MclW0Srs8g,0.725638159,8oE5guoix3w,1,7MclW0Srs8g,1,7MclW0Srs8g,0.518309522,7MclW0Srs8g,0.549278227,7MclW0Srs8g,"[0.5622388117283948, 0.5615953385984024, 0.560906454248366]",7MclW0Srs8g,0.8,7MclW0Srs8g,"[0.5718518518518518, 0.57140522875817, 0.5694880174291939]",7MclW0Srs8g,5,7MclW0Srs8g,14,ALaqqMY2m0k,0.998509099,7MclW0Srs8g,0.538367992,7MclW0Srs8g,1647984.75,7MclW0Srs8g,1,7MclW0Srs8g,0.725638159,8oE5guoix3w,1,7MclW0Srs8g,1,7MclW0Srs8g,0.518309522,7MclW0Srs8g,0.549278227,7MclW0Srs8g,"[0.5622388117283948, 0.5615953385984024, 0.560906454248366]",7MclW0Srs8g,0.8,7MclW0Srs8g,"[0.5718518518518518, 0.57140522875817, 0.5694880174291939]",7MclW0Srs8g,5,7MclW0Srs8g,14,cTfmQht0AdE,A major,125,1,0,0,0,0,0,0,1,0
ALD72k9ZuJk,48,7MJu_aWn1nI,15,ALD72k9ZuJk,48,7MJu_aWn1nI,15,ALD72k9ZuJk,0.721928095,7MJu_aWn1nI,0.4677224,7MJu_aWn1nI,407457.347,7MJu_aWn1nI,0.4,7MJu_aWn1nI,0.72442409,8Ozc-h-29M0,1,7MJu_aWn1nI,1,7MJu_aWn1nI,0.304850677,7MJu_aWn1nI,0.423507499,7MJu_aWn1nI,"[0.03921802054154996, 0.03917335823218177, 0.03919203236850296]",7MJu_aWn1nI,0.6,7MJu_aWn1nI,"[0.03764705882352941, 0.03764705882352941, 0.03759103641456583]",7MJu_aWn1nI,5,7MJu_aWn1nI,4,ALD72k9ZuJk,0.721928095,7MJu_aWn1nI,0.4677224,7MJu_aWn1nI,407457.347,7MJu_aWn1nI,0.4,7MJu_aWn1nI,0.72442409,8Ozc-h-29M0,1,7MJu_aWn1nI,1,7MJu_aWn1nI,0.304850677,7MJu_aWn1nI,0.423507499,7MJu_aWn1nI,"[0.03921802054154996, 0.03917335823218177, 0.03919203236850296]",7MJu_aWn1nI,0.6,7MJu_aWn1nI,"[0.03764705882352941, 0.03764705882352941, 0.03759103641456583]",7MJu_aWn1nI,5,7MJu_aWn1nI,4,CtWirGxV7Q8,A major,100,1,0,0,0,0,0,0,1,0
AmjUGJwu810,18,7N9HoLhZGsU,30,AmjUGJwu810,18,7N9HoLhZGsU,30,AmjUGJwu810,0.970950594,7N9HoLhZGsU,0.584219171,7N9HoLhZGsU,1464398.925,7N9HoLhZGsU,0.2,7N9HoLhZGsU,0.72548906,8pmw5CAc3rk,1,7N9HoLhZGsU,8,7N9HoLhZGsU,0.571160494,7N9HoLhZGsU,0.587942362,7N9HoLhZGsU,"[0.6364245098039213, 0.6387450980392156, 0.6418540305010895]",7N9HoLhZGsU,0.6,7N9HoLhZGsU,"[0.6521830065359477, 0.655607843137255, 0.6610718954248366]",7N9HoLhZGsU,5,7N9HoLhZGsU,1,AmjUGJwu810,0.970950594,7N9HoLhZGsU,0.584219171,7N9HoLhZGsU,1464398.925,7N9HoLhZGsU,0.2,7N9HoLhZGsU,0.72548906,8pmw5CAc3rk,1,7N9HoLhZGsU,8,7N9HoLhZGsU,0.571160494,7N9HoLhZGsU,0.587942362,7N9HoLhZGsU,"[0.6364245098039213, 0.6387450980392156, 0.6418540305010895]",7N9HoLhZGsU,0.6,7N9HoLhZGsU,"[0.6521830065359477, 0.655607843137255, 0.6610718954248366]",7N9HoLhZGsU,5,7N9HoLhZGsU,1,Cu-qFrFMc_w,B major,100,0,1,0,0,0,0,0,1,0
aNN9nL2vppM,21,7nr-irGW9bw,106,aNN9nL2vppM,21,7nr-irGW9bw,106,aNN9nL2vppM,0.934068055,7nr-irGW9bw,0.378425985,7nr-irGW9bw,995964.4683,7nr-irGW9bw,0.6,7nr-irGW9bw,0.725048971,8qIS3rCrrE4,1,7nr-irGW9bw,33,7nr-irGW9bw,0.403441356,7nr-irGW9bw,0.280550681,7nr-irGW9bw,"[0.44309326541073907, 0.4430802415737536, 0.4427563757529159]",7nr-irGW9bw,0.4,7nr-irGW9bw,"[0.4614225297962322, 0.461199538638985, 0.4618762014609766]",7nr-irGW9bw,5,7nr-irGW9bw,15,aNN9nL2vppM,0.934068055,7nr-irGW9bw,0.378425985,7nr-irGW9bw,995964.4683,7nr-irGW9bw,0.6,7nr-irGW9bw,0.725048971,8qIS3rCrrE4,1,7nr-irGW9bw,33,7nr-irGW9bw,0.403441356,7nr-irGW9bw,0.280550681,7nr-irGW9bw,"[0.44309326541073907, 0.4430802415737536, 0.4427563757529159]",7nr-irGW9bw,0.4,7nr-irGW9bw,"[0.4614225297962322, 0.461199538638985, 0.4618762014609766]",7nr-irGW9bw,5,7nr-irGW9bw,15,cv157ZIInUk,D minor,113,0,0,0,1,0,0,0,0,0
AnUIod4tX98,67,7oHsDGnZTcw,30,AnUIod4tX98,67,7oHsDGnZTcw,30,AnUIod4tX98,0.914926373,7oHsDGnZTcw,0.447911234,7oHsDGnZTcw,1417829.656,7oHsDGnZTcw,0.2,7oHsDGnZTcw,0.724276026,8QRs0ejxjEc,1,7oHsDGnZTcw,25,7oHsDGnZTcw,0.415765818,7oHsDGnZTcw,0.469316848,7oHsDGnZTcw,"[0.35689741058460434, 0.358015727124183, 0.35889013707334777]",7oHsDGnZTcw,0.8,7oHsDGnZTcw,"[0.33877995642701525, 0.3395424836601307, 0.3410403050108932]",7oHsDGnZTcw,4,7oHsDGnZTcw,5,AnUIod4tX98,0.914926373,7oHsDGnZTcw,0.447911234,7oHsDGnZTcw,1417829.656,7oHsDGnZTcw,0.2,7oHsDGnZTcw,0.724276026,8QRs0ejxjEc,1,7oHsDGnZTcw,25,7oHsDGnZTcw,0.415765818,7oHsDGnZTcw,0.469316848,7oHsDGnZTcw,"[0.35689741058460434, 0.358015727124183, 0.35889013707334777]",7oHsDGnZTcw,0.8,7oHsDGnZTcw,"[0.33877995642701525, 0.3395424836601307, 0.3410403050108932]",7oHsDGnZTcw,4,7oHsDGnZTcw,5,cvnqS95cEJ8,A minor,90,1,0,0,0,0,0,0,0,0
Ao0jaXRAarQ,16,7Ol2HYCnVbs,61,Ao0jaXRAarQ,16,7Ol2HYCnVbs,61,Ao0jaXRAarQ,0.836640742,7Ol2HYCnVbs,0.274661385,7Ol2HYCnVbs,1054267.423,7Ol2HYCnVbs,0.6,7Ol2HYCnVbs,0.726360669,8QzYlBM30NA,1,7Ol2HYCnVbs,21,7Ol2HYCnVbs,0.257486215,7Ol2HYCnVbs,0.398165614,7Ol2HYCnVbs,"[0.33927287581699317, 0.3461301465030448, 0.34451644546707627]",7Ol2HYCnVbs,1,7Ol2HYCnVbs,"[0.1304921968787515, 0.11165799653194611, 0.09779911964785915]",7Ol2HYCnVbs,4,7Ol2HYCnVbs,1,Ao0jaXRAarQ,0.836640742,7Ol2HYCnVbs,0.274661385,7Ol2HYCnVbs,1054267.423,7Ol2HYCnVbs,0.6,7Ol2HYCnVbs,0.726360669,8QzYlBM30NA,1,7Ol2HYCnVbs,21,7Ol2HYCnVbs,0.257486215,7Ol2HYCnVbs,0.398165614,7Ol2HYCnVbs,"[0.33927287581699317, 0.3461301465030448, 0.34451644546707627]",7Ol2HYCnVbs,1,7Ol2HYCnVbs,"[0.1304921968787515, 0.11165799653194611, 0.09779911964785915]",7Ol2HYCnVbs,4,7Ol2HYCnVbs,1,cw6x80Qdzak,A minor,90,1,0,0,0,0,0,0,0,0
Ao2PTDCiRxU,68,7oWOTN4YyYc,15,Ao2PTDCiRxU,68,7oWOTN4YyYc,15,Ao2PTDCiRxU,0.918295834,7oWOTN4YyYc,0.256034476,7oWOTN4YyYc,1528989.52,7oWOTN4YyYc,0.4,7oWOTN4YyYc,0.724299707,8sjUcp0UQI0,1,7oWOTN4YyYc,2,7oWOTN4YyYc,0.237259963,7oWOTN4YyYc,0.216198143,7oWOTN4YyYc,"[0.2131166150670794, 0.21683952528379774, 0.21642146112831095]",7oWOTN4YyYc,0.4,7oWOTN4YyYc,"[0.18317853457172342, 0.18374613003095977, 0.1811145510835913]",7oWOTN4YyYc,3,7oWOTN4YyYc,14,Ao2PTDCiRxU,0.918295834,7oWOTN4YyYc,0.256034476,7oWOTN4YyYc,1528989.52,7oWOTN4YyYc,0.4,7oWOTN4YyYc,0.724299707,8sjUcp0UQI0,1,7oWOTN4YyYc,2,7oWOTN4YyYc,0.237259963,7oWOTN4YyYc,0.216198143,7oWOTN4YyYc,"[0.2131166150670794, 0.21683952528379774, 0.21642146112831095]",7oWOTN4YyYc,0.4,7oWOTN4YyYc,"[0.18317853457172342, 0.18374613003095977, 0.1811145510835913]",7oWOTN4YyYc,3,7oWOTN4YyYc,14,CwpNQWrD8PY,F major,117,0,0,0,0,0,1,0,1,0
APAcU3YBhYc,12,7pi6BtYXD1w,45,APAcU3YBhYc,12,7pi6BtYXD1w,45,APAcU3YBhYc,0.954434003,7pi6BtYXD1w,0.320850305,7pi6BtYXD1w,1256331.508,7pi6BtYXD1w,0.8,7pi6BtYXD1w,0.724569785,8Suu84khNGY,1,7pi6BtYXD1w,6,7pi6BtYXD1w,0.222842145,7pi6BtYXD1w,0.316128248,7pi6BtYXD1w,"[0.001257208765859285, 0.001257208765859285, 0.001257208765859285]",7pi6BtYXD1w,0.8,7pi6BtYXD1w,"[0.0006055363321799309, 0.0006055363321799309, 0.0006055363321799309]",7pi6BtYXD1w,5,7pi6BtYXD1w,25,APAcU3YBhYc,0.954434003,7pi6BtYXD1w,0.320850305,7pi6BtYXD1w,1256331.508,7pi6BtYXD1w,0.8,7pi6BtYXD1w,0.724569785,8Suu84khNGY,1,7pi6BtYXD1w,6,7pi6BtYXD1w,0.222842145,7pi6BtYXD1w,0.316128248,7pi6BtYXD1w,"[0.001257208765859285, 0.001257208765859285, 0.001257208765859285]",7pi6BtYXD1w,0.8,7pi6BtYXD1w,"[0.0006055363321799309, 0.0006055363321799309, 0.0006055363321799309]",7pi6BtYXD1w,5,7pi6BtYXD1w,25,Cx_5i5rWVE0,A minor,144,1,0,0,0,0,0,0,0,0
ApnyKv1GuNI,30,7pOoSe2K5DU,33,ApnyKv1GuNI,30,7pOoSe2K5DU,33,ApnyKv1GuNI,0.845350937,7pOoSe2K5DU,0.43511676,7pOoSe2K5DU,1510588.119,7pOoSe2K5DU,0.8,7pOoSe2K5DU,0.725980452,8SVnrNaNv7A,1,7pOoSe2K5DU,3,7pOoSe2K5DU,0.460816622,7pOoSe2K5DU,0.426081829,7pOoSe2K5DU,"[0.34430097038815516, 0.3924265122715754, 0.42058298319327725]",7pOoSe2K5DU,1,7pOoSe2K5DU,"[0.3302721088435374, 0.3862745098039216, 0.4107843137254902]",7pOoSe2K5DU,2,7pOoSe2K5DU,6,ApnyKv1GuNI,0.845350937,7pOoSe2K5DU,0.43511676,7pOoSe2K5DU,1510588.119,7pOoSe2K5DU,0.8,7pOoSe2K5DU,0.725980452,8SVnrNaNv7A,1,7pOoSe2K5DU,3,7pOoSe2K5DU,0.460816622,7pOoSe2K5DU,0.426081829,7pOoSe2K5DU,"[0.34430097038815516, 0.3924265122715754, 0.42058298319327725]",7pOoSe2K5DU,1,7pOoSe2K5DU,"[0.3302721088435374, 0.3862745098039216, 0.4107843137254902]",7pOoSe2K5DU,2,7pOoSe2K5DU,6,CXO_zyozrHA,D major,95,0,0,0,1,0,0,0,1,0
ApqQW5Nx1qI,62,7QBgCfKfXqQ,119,ApqQW5Nx1qI,62,7QBgCfKfXqQ,119,ApqQW5Nx1qI,0.937734294,7QBgCfKfXqQ,0.108955192,7QBgCfKfXqQ,541276.845,7QBgCfKfXqQ,0.4,7QBgCfKfXqQ,0.723108094,8tEsxbCl21E,1,7QBgCfKfXqQ,36,7QBgCfKfXqQ,0.096217198,7QBgCfKfXqQ,0.143390565,7QBgCfKfXqQ,"[0.09159349197195239, 0.09375318101096662, 0.10129567840207994]",7QBgCfKfXqQ,0.4,7QBgCfKfXqQ,"[0.09819300269127258, 0.09962102488054045, 0.09952216180589883]",7QBgCfKfXqQ,5,7QBgCfKfXqQ,13,ApqQW5Nx1qI,0.937734294,7QBgCfKfXqQ,0.108955192,7QBgCfKfXqQ,541276.845,7QBgCfKfXqQ,0.4,7QBgCfKfXqQ,0.723108094,8tEsxbCl21E,1,7QBgCfKfXqQ,36,7QBgCfKfXqQ,0.096217198,7QBgCfKfXqQ,0.143390565,7QBgCfKfXqQ,"[0.09159349197195239, 0.09375318101096662, 0.10129567840207994]",7QBgCfKfXqQ,0.4,7QBgCfKfXqQ,"[0.09819300269127258, 0.09962102488054045, 0.09952216180589883]",7QBgCfKfXqQ,5,7QBgCfKfXqQ,13,CXPgCq-EMk8,C minor,142,0,0,1,0,0,0,0,0,0
AQ_XSHpIbZE,25,7qRIx5t31zo,30,AQ_XSHpIbZE,25,7qRIx5t31zo,30,AQ_XSHpIbZE,0.650022422,7qRIx5t31zo,0.693129376,7qRIx5t31zo,1333484.306,7qRIx5t31zo,0,7qRIx5t31zo,0.725158466,8uK-mCxVl84,1,7qRIx5t31zo,28,7qRIx5t31zo,0.709380781,7qRIx5t31zo,0.657302404,7qRIx5t31zo,"[0.7637068355119826, 0.7641480119825709, 0.7643359658678286]",7qRIx5t31zo,0.4,7qRIx5t31zo,"[0.7914814814814815, 0.7921350762527233, 0.7924183006535948]",7qRIx5t31zo,3,7qRIx5t31zo,9,AQ_XSHpIbZE,0.650022422,7qRIx5t31zo,0.693129376,7qRIx5t31zo,1333484.306,7qRIx5t31zo,0,7qRIx5t31zo,0.725158466,8uK-mCxVl84,1,7qRIx5t31zo,28,7qRIx5t31zo,0.709380781,7qRIx5t31zo,0.657302404,7qRIx5t31zo,"[0.7637068355119826, 0.7641480119825709, 0.7643359658678286]",7qRIx5t31zo,0.4,7qRIx5t31zo,"[0.7914814814814815, 0.7921350762527233, 0.7924183006535948]",7qRIx5t31zo,3,7qRIx5t31zo,9,cXw2gm4yPEE,E major,162,0,0,0,0,1,0,0,1,0
AR-dXdnjljc,30,7QV-F7rlmtY,95,AR-dXdnjljc,30,7QV-F7rlmtY,95,AR-dXdnjljc,1,7QV-F7rlmtY,0.893385365,7QV-F7rlmtY,371817.4547,7QV-F7rlmtY,0,7QV-F7rlmtY,0.725135408,8UqZzZWZd-Y,1,7QV-F7rlmtY,15,7QV-F7rlmtY,0.88214914,7QV-F7rlmtY,0.868521167,7QV-F7rlmtY,"[0.8875470771058983, 0.8994939925270791, 0.8992949146441765]",7QV-F7rlmtY,0.2,7QV-F7rlmtY,"[0.8889757301522008, 0.9005690388043329, 0.9002605237899356]",7QV-F7rlmtY,3,7QV-F7rlmtY,5,AR-dXdnjljc,1,7QV-F7rlmtY,0.893385365,7QV-F7rlmtY,371817.4547,7QV-F7rlmtY,0,7QV-F7rlmtY,0.725135408,8UqZzZWZd-Y,1,7QV-F7rlmtY,15,7QV-F7rlmtY,0.88214914,7QV-F7rlmtY,0.868521167,7QV-F7rlmtY,"[0.8875470771058983, 0.8994939925270791, 0.8992949146441765]",7QV-F7rlmtY,0.2,7QV-F7rlmtY,"[0.8889757301522008, 0.9005690388043329, 0.9002605237899356]",7QV-F7rlmtY,3,7QV-F7rlmtY,5,cYIN-b8qjmo,A# major,100,1,0,0,0,0,0,0,1,1
AR-Iz1fts5M,15,7scG09FPwKM,15,AR-Iz1fts5M,15,7scG09FPwKM,15,AR-Iz1fts5M,0.645752333,7scG09FPwKM,0.185931712,7scG09FPwKM,803275.1947,7scG09FPwKM,0.6,7scG09FPwKM,0.723191403,8VdG8eCxors,0,7scG09FPwKM,6,7scG09FPwKM,0.155013647,7scG09FPwKM,0.199447586,7scG09FPwKM,"[0.12050775039745626, 0.1228892863451687, 0.1269033739621975]",7scG09FPwKM,0.4,7scG09FPwKM,"[0.1253312135665077, 0.13116057233704292, 0.13555908850026496]",7scG09FPwKM,4,7scG09FPwKM,9,AR-Iz1fts5M,0.645752333,7scG09FPwKM,0.185931712,7scG09FPwKM,803275.1947,7scG09FPwKM,0.6,7scG09FPwKM,0.723191403,8VdG8eCxors,0,7scG09FPwKM,6,7scG09FPwKM,0.155013647,7scG09FPwKM,0.199447586,7scG09FPwKM,"[0.12050775039745626, 0.1228892863451687, 0.1269033739621975]",7scG09FPwKM,0.4,7scG09FPwKM,"[0.1253312135665077, 0.13116057233704292, 0.13555908850026496]",7scG09FPwKM,4,7scG09FPwKM,9,cyVzjoj96vs,A major,110,1,0,0,0,0,0,0,1,0
Ar7Fj1LzFp8,30,7sVGB2_zARY,45,Ar7Fj1LzFp8,30,7sVGB2_zARY,45,Ar7Fj1LzFp8,0.591672779,7sVGB2_zARY,0.410590297,7sVGB2_zARY,1293766.453,7sVGB2_zARY,0.8,7sVGB2_zARY,0.724384544,8Z9hWVZ_BiM,0,7sVGB2_zARY,18,7sVGB2_zARY,0.411632833,7sVGB2_zARY,0.411745064,7sVGB2_zARY,"[0.005264763722598183, 0.3289323775232807, 0.46319661345364116]",7sVGB2_zARY,0.6,7sVGB2_zARY,"[0.001665799062988027, 0.32908207530799927, 0.4638209266007288]",7sVGB2_zARY,3,7sVGB2_zARY,6,Ar7Fj1LzFp8,0.591672779,7sVGB2_zARY,0.410590297,7sVGB2_zARY,1293766.453,7sVGB2_zARY,0.8,7sVGB2_zARY,0.724384544,8Z9hWVZ_BiM,0,7sVGB2_zARY,18,7sVGB2_zARY,0.411632833,7sVGB2_zARY,0.411745064,7sVGB2_zARY,"[0.005264763722598183, 0.3289323775232807, 0.46319661345364116]",7sVGB2_zARY,0.6,7sVGB2_zARY,"[0.001665799062988027, 0.32908207530799927, 0.4638209266007288]",7sVGB2_zARY,3,7sVGB2_zARY,6,CzcxM6u7ey0,C major,98,0,0,1,0,0,0,0,1,0
ArTzPA5AsTg,8,7t2mi19DcmE,69,ArTzPA5AsTg,8,7t2mi19DcmE,69,ArTzPA5AsTg,0.89049164,7t2mi19DcmE,0.193479834,7t2mi19DcmE,810169.6034,7t2mi19DcmE,0,7t2mi19DcmE,0.724125082,8ZO-7pL_MrM,1,7t2mi19DcmE,21,7t2mi19DcmE,0.074852877,7t2mi19DcmE,0.277098738,7t2mi19DcmE,"[0.0, 0.0, 0.0]",7t2mi19DcmE,1,7t2mi19DcmE,"[0.0, 0.0, 0.0]",7t2mi19DcmE,4,7t2mi19DcmE,5,ArTzPA5AsTg,0.89049164,7t2mi19DcmE,0.193479834,7t2mi19DcmE,810169.6034,7t2mi19DcmE,0,7t2mi19DcmE,0.724125082,8ZO-7pL_MrM,1,7t2mi19DcmE,21,7t2mi19DcmE,0.074852877,7t2mi19DcmE,0.277098738,7t2mi19DcmE,"[0.0, 0.0, 0.0]",7t2mi19DcmE,1,7t2mi19DcmE,"[0.0, 0.0, 0.0]",7t2mi19DcmE,4,7t2mi19DcmE,5,cZTD62e566U,G# major,164,0,0,0,0,0,0,1,1,1
as_SyfYC5UM,28,7T3J4n_PJaI,82,as_SyfYC5UM,28,7T3J4n_PJaI,82,as_SyfYC5UM,0.977417818,7T3J4n_PJaI,0.381785314,7T3J4n_PJaI,699566.3078,7T3J4n_PJaI,0.2,7T3J4n_PJaI,0.724615012,8zOgbkg6Akw,1,7T3J4n_PJaI,27,7T3J4n_PJaI,0.385466581,7T3J4n_PJaI,0.391058366,7T3J4n_PJaI,"[0.5283954049099315, 0.5271704626972741, 0.5218070500557945]",7T3J4n_PJaI,0.4,7T3J4n_PJaI,"[0.5402598437749084, 0.5374860513311016, 0.5308305435995537]",7T3J4n_PJaI,5,7T3J4n_PJaI,5,as_SyfYC5UM,0.977417818,7T3J4n_PJaI,0.381785314,7T3J4n_PJaI,699566.3078,7T3J4n_PJaI,0.2,7T3J4n_PJaI,0.724615012,8zOgbkg6Akw,1,7T3J4n_PJaI,27,7T3J4n_PJaI,0.385466581,7T3J4n_PJaI,0.391058366,7T3J4n_PJaI,"[0.5283954049099315, 0.5271704626972741, 0.5218070500557945]",7T3J4n_PJaI,0.4,7T3J4n_PJaI,"[0.5402598437749084, 0.5374860513311016, 0.5308305435995537]",7T3J4n_PJaI,5,7T3J4n_PJaI,5,czYixQFLbd4,A major,152,1,0,0,0,0,0,0,1,0
ASsZ-u9YV3c,21,7T5jX_BNnb4,30,ASsZ-u9YV3c,21,7T5jX_BNnb4,30,ASsZ-u9YV3c,0.881290899,7T5jX_BNnb4,0.49813365,7T5jX_BNnb4,1242751.438,7T5jX_BNnb4,0,7T5jX_BNnb4,0.725716743,8zTDbpxT8ZI,1,7T5jX_BNnb4,21,7T5jX_BNnb4,0.438103945,7T5jX_BNnb4,0.511115633,7T5jX_BNnb4,"[0.4339870642701527, 0.4384891067538127, 0.43871332607116925]",7T5jX_BNnb4,0.4,7T5jX_BNnb4,"[0.44712418300653595, 0.44941176470588234, 0.4484531590413943]",7T5jX_BNnb4,3,7T5jX_BNnb4,5,ASsZ-u9YV3c,0.881290899,7T5jX_BNnb4,0.49813365,7T5jX_BNnb4,1242751.438,7T5jX_BNnb4,0,7T5jX_BNnb4,0.725716743,8zTDbpxT8ZI,1,7T5jX_BNnb4,21,7T5jX_BNnb4,0.438103945,7T5jX_BNnb4,0.511115633,7T5jX_BNnb4,"[0.4339870642701527, 0.4384891067538127, 0.43871332607116925]",7T5jX_BNnb4,0.4,7T5jX_BNnb4,"[0.44712418300653595, 0.44941176470588234, 0.4484531590413943]",7T5jX_BNnb4,3,7T5jX_BNnb4,5,D-ie_aFsfb8,F# minor,123,0,0,0,0,0,1,0,0,1
aTi6i0FZCfI,16,7TxknbusTa8,30,aTi6i0FZCfI,16,7TxknbusTa8,30,aTi6i0FZCfI,0.996791632,7TxknbusTa8,0.534435855,7TxknbusTa8,432572.076,7TxknbusTa8,1,7TxknbusTa8,0.726064118,90fRlMQTdSs,1,7TxknbusTa8,8,7TxknbusTa8,0.474318189,7TxknbusTa8,0.487801148,7TxknbusTa8,"[0.4940623297930284, 0.49393291575889614, 0.4935490990377634]",7TxknbusTa8,0.4,7TxknbusTa8,"[0.5401688453159041, 0.5391067538126362, 0.5379357298474946]",7TxknbusTa8,3,7TxknbusTa8,6,aTi6i0FZCfI,0.996791632,7TxknbusTa8,0.534435855,7TxknbusTa8,432572.076,7TxknbusTa8,1,7TxknbusTa8,0.726064118,90fRlMQTdSs,1,7TxknbusTa8,8,7TxknbusTa8,0.474318189,7TxknbusTa8,0.487801148,7TxknbusTa8,"[0.4940623297930284, 0.49393291575889614, 0.4935490990377634]",7TxknbusTa8,0.4,7TxknbusTa8,"[0.5401688453159041, 0.5391067538126362, 0.5379357298474946]",7TxknbusTa8,3,7TxknbusTa8,6,D0cyg74awpI,A minor,118,1,0,0,0,0,0,0,0,0
AtUBeFiWi8Q,31,7UjqLfjsfMk,30,AtUBeFiWi8Q,31,7UjqLfjsfMk,30,AtUBeFiWi8Q,0.9905577,7UjqLfjsfMk,0.298168694,7UjqLfjsfMk,889625.7033,7UjqLfjsfMk,0.8,7UjqLfjsfMk,0.724255217,913xrM9FYpI,1,7UjqLfjsfMk,3,7UjqLfjsfMk,0.245151533,7UjqLfjsfMk,0.322693007,7UjqLfjsfMk,"[0.10459758533042847, 0.10493409586056648, 0.105319535221496]",7UjqLfjsfMk,0.4,7UjqLfjsfMk,"[0.07721132897603486, 0.07762527233115468, 0.07851851851851852]",7UjqLfjsfMk,5,7UjqLfjsfMk,6,AtUBeFiWi8Q,0.9905577,7UjqLfjsfMk,0.298168694,7UjqLfjsfMk,889625.7033,7UjqLfjsfMk,0.8,7UjqLfjsfMk,0.724255217,913xrM9FYpI,1,7UjqLfjsfMk,3,7UjqLfjsfMk,0.245151533,7UjqLfjsfMk,0.322693007,7UjqLfjsfMk,"[0.10459758533042847, 0.10493409586056648, 0.105319535221496]",7UjqLfjsfMk,0.4,7UjqLfjsfMk,"[0.07721132897603486, 0.07762527233115468, 0.07851851851851852]",7UjqLfjsfMk,5,7UjqLfjsfMk,6,D1leFabPbPw,D minor,128,0,0,0,1,0,0,0,0,0
AU1iq9rqYJ0,12,7vCet60rr_s,33,AU1iq9rqYJ0,12,7vCet60rr_s,33,AU1iq9rqYJ0,0.954434003,7vCet60rr_s,0.523297925,7vCet60rr_s,1175198.098,7vCet60rr_s,0.8,7vCet60rr_s,0.725565079,92_2HbPjFdU,1,7vCet60rr_s,14,7vCet60rr_s,0.50016795,7vCet60rr_s,0.518125078,7vCet60rr_s,"[0.6753588449268595, 0.6842350898692812, 0.6821031746031746]",7vCet60rr_s,0.6,7vCet60rr_s,"[0.719140989729225, 0.7333099906629319, 0.7361111111111112]",7vCet60rr_s,5,7vCet60rr_s,6,AU1iq9rqYJ0,0.954434003,7vCet60rr_s,0.523297925,7vCet60rr_s,1175198.098,7vCet60rr_s,0.8,7vCet60rr_s,0.725565079,92_2HbPjFdU,1,7vCet60rr_s,14,7vCet60rr_s,0.50016795,7vCet60rr_s,0.518125078,7vCet60rr_s,"[0.6753588449268595, 0.6842350898692812, 0.6821031746031746]",7vCet60rr_s,0.6,7vCet60rr_s,"[0.719140989729225, 0.7333099906629319, 0.7361111111111112]",7vCet60rr_s,5,7vCet60rr_s,6,d2QNuDUTocE,A# minor,129,1,0,0,0,0,0,0,0,1
aumsEbfWnjk,61,7VCYBtx6h4g,30,aumsEbfWnjk,61,7VCYBtx6h4g,30,aumsEbfWnjk,0.935014559,7VCYBtx6h4g,0.48510071,7VCYBtx6h4g,1155082.852,7VCYBtx6h4g,0.2,7VCYBtx6h4g,0.724555171,92RWz0gr1z0,1,7VCYBtx6h4g,9,7VCYBtx6h4g,0.484625481,7VCYBtx6h4g,0.501691172,7VCYBtx6h4g,"[0.6849006445170661, 0.6827687908496731, 0.6788572984749454]",7VCYBtx6h4g,0.8,7VCYBtx6h4g,"[0.7098474945533769, 0.7063398692810458, 0.700239651416122]",7VCYBtx6h4g,5,7VCYBtx6h4g,1,aumsEbfWnjk,0.935014559,7VCYBtx6h4g,0.48510071,7VCYBtx6h4g,1155082.852,7VCYBtx6h4g,0.2,7VCYBtx6h4g,0.724555171,92RWz0gr1z0,1,7VCYBtx6h4g,9,7VCYBtx6h4g,0.484625481,7VCYBtx6h4g,0.501691172,7VCYBtx6h4g,"[0.6849006445170661, 0.6827687908496731, 0.6788572984749454]",7VCYBtx6h4g,0.8,7VCYBtx6h4g,"[0.7098474945533769, 0.7063398692810458, 0.700239651416122]",7VCYBtx6h4g,5,7VCYBtx6h4g,1,D3J7R6WBJJc,E major,135,0,0,0,0,1,0,0,1,0
